trade_date,signals_available,signals_taken,signals_skipped,wins,losses,timeouts,net_ticks,session_profitable
2025-03-12,4,4,0,4,0,0,240,True
2025-03-13,1,1,0,1,0,0,60,True
2025-03-17,8,2,6,0,2,0,-32,False
2025-03-18,6,2,4,0,2,0,-32,False
2025-03-20,2,2,0,0,2,0,-32,False
2025-03-24,15,9,6,9,0,0,540,True
2025-03-26,1,1,0,1,0,0,60,True
2025-03-27,3,3,0,3,0,0,180,True
2025-03-31,4,4,0,3,1,0,164,True
2025-04-01,8,8,0,7,1,0,404,True
2025-04-07,2,2,0,1,1,0,44,True
2025-04-10,6,2,4,0,2,0,-32,False
2025-04-14,2,2,0,2,0,0,120,True
2025-04-16,2,2,0,0,2,0,-32,False
2025-04-23,7,4,3,2,2,0,88,True
2025-04-28,2,2,0,2,0,0,120,True
2025-04-29,2,1,1,1,0,0,60,True
2025-05-01,8,7,1,5,2,0,268,True
2025-05-07,3,3,0,1,2,0,28,True
2025-05-08,5,3,2,2,1,0,104,True
2025-05-12,5,4,1,4,0,0,240,True
2025-05-13,16,9,7,8,1,0,464,True
2025-05-14,3,2,1,0,2,0,-32,False
2025-05-15,4,4,0,3,1,0,164,True
2025-05-19,7,6,1,6,0,0,360,True
2025-05-20,8,7,1,6,1,0,344,True
2025-05-22,9,3,6,1,2,0,28,True
2025-05-26,3,3,0,3,0,0,180,True
2025-05-27,4,4,0,3,1,0,164,True
2025-05-28,1,1,0,1,0,0,60,True
2025-05-29,9,9,0,9,0,0,540,True
2025-06-02,4,4,0,4,0,0,240,True
2025-06-03,12,12,0,12,0,0,720,True
2025-06-05,7,7,0,7,0,0,420,True
2025-06-09,7,7,0,7,0,0,420,True
2025-06-10,5,5,0,5,0,0,300,True
2025-06-11,6,3,3,1,2,0,28,True
2025-06-12,9,7,2,5,2,0,268,True
2025-06-17,4,2,2,0,2,0,-32,False
2025-06-24,4,3,1,3,0,0,180,True
2025-06-25,10,2,8,0,2,0,-32,False
2025-06-26,3,3,0,3,0,0,180,True
2025-06-30,1,1,0,1,0,0,60,True
2025-07-01,1,1,0,0,1,0,-16,False
2025-07-02,1,1,0,1,0,0,60,True
2025-07-03,5,3,2,2,1,0,104,True
2025-07-07,3,3,0,3,0,0,180,True
2025-07-08,5,4,1,3,1,0,164,True
2025-07-09,3,3,0,2,1,0,104,True
2025-07-10,2,2,0,2,0,0,120,True
2025-07-17,7,4,3,4,0,0,240,True
2025-07-22,1,1,0,1,0,0,60,True
2025-07-24,3,2,1,2,0,0,120,True
2025-07-28,14,3,11,3,0,0,180,True
2025-07-29,2,2,0,2,0,0,120,True
2025-08-05,2,2,0,2,0,0,120,True
2025-08-06,1,1,0,1,0,0,60,True
2025-08-07,6,4,2,4,0,0,240,True
2025-08-11,5,4,1,4,0,0,240,True
2025-08-12,7,5,2,5,0,0,300,True
2025-08-13,6,5,1,5,0,0,300,True
2025-08-14,2,2,0,2,0,0,120,True
2025-08-18,8,6,2,5,1,0,284,True
2025-08-19,10,7,3,7,0,0,420,True
2025-08-20,1,1,0,1,0,0,60,True
2025-08-21,8,4,4,3,1,0,164,True
2025-08-27,1,1,0,1,0,0,60,True
2025-09-01,1,1,0,1,0,0,60,True
2025-09-03,3,3,0,3,0,0,180,True
2025-09-08,4,4,0,4,0,0,240,True
2025-09-11,14,14,0,14,0,0,840,True
2025-09-15,13,13,0,13,0,0,780,True
2025-09-16,10,2,8,0,2,0,-32,False
2025-09-18,5,2,3,0,2,0,-32,False
2025-09-23,4,2,2,2,0,0,120,True
2025-09-25,10,4,6,4,0,0,240,True
2025-09-29,6,4,2,3,1,0,164,True
2025-09-30,2,2,0,1,1,0,44,True
2025-10-01,3,3,0,3,0,0,180,True
2025-10-02,5,4,1,4,0,0,240,True
2025-10-06,7,7,0,6,1,0,344,True
2025-10-07,8,5,3,5,0,0,300,True
2025-10-08,4,2,2,1,1,0,44,True
2025-10-13,3,2,1,1,1,0,44,True
2025-10-15,3,2,1,1,1,0,44,True
2025-10-20,7,6,1,6,0,0,360,True
2025-10-21,5,2,3,0,2,0,-32,False
2025-10-22,5,4,1,2,2,0,88,True
2025-10-23,13,6,7,5,1,0,284,True
2025-10-28,5,4,1,3,1,0,164,True
2025-10-29,4,3,1,2,1,0,104,True
2025-10-30,2,2,0,1,1,0,44,True
2025-11-03,1,1,0,1,0,0,60,True
2025-11-04,2,2,0,2,0,0,120,True
2025-11-05,2,2,0,0,2,0,-32,False
2025-11-06,4,4,0,4,0,0,240,True
2025-11-10,9,5,4,5,0,0,300,True
2025-11-11,9,8,1,8,0,0,480,True
2025-11-12,11,7,4,7,0,0,420,True
2025-11-17,8,5,3,3,2,0,148,True
2025-11-18,5,5,0,5,0,0,300,True
2025-11-24,3,3,0,3,0,0,180,True
2025-11-25,1,1,0,1,0,0,60,True
2025-12-01,7,7,0,6,1,0,344,True
2025-12-02,6,6,0,6,0,0,360,True
2025-12-04,1,1,0,1,0,0,60,True
2025-12-08,14,14,0,14,0,0,840,True
2025-12-09,1,1,0,1,0,0,60,True
2025-12-10,4,4,0,4,0,0,240,True
2025-12-11,7,7,0,7,0,0,420,True
2025-12-16,5,2,3,0,2,0,-32,False
2025-12-17,10,2,8,0,2,0,-32,False
2025-12-22,9,7,2,7,0,0,420,True
2025-12-29,4,2,2,1,1,0,44,True
2026-01-05,8,2,6,2,0,0,120,True
2026-01-06,13,2,11,2,0,0,120,True
2026-01-08,10,4,6,4,0,0,240,True
2026-01-15,3,2,1,2,0,0,120,True
2026-01-19,6,6,0,4,2,0,208,True
2026-01-20,1,1,0,1,0,0,60,True
2026-01-21,3,3,0,2,1,0,104,True
2026-01-22,3,2,1,1,1,0,44,True
2026-01-26,6,3,3,3,0,0,180,True
2026-01-27,5,1,4,1,0,0,60,True
2026-01-28,11,9,2,8,1,0,464,True
2026-01-29,3,3,0,2,1,0,104,True
2026-02-02,5,5,0,5,0,0,300,True
2026-02-04,5,2,3,0,2,0,-32,False
2026-02-05,8,7,1,5,2,0,268,True
2026-02-10,2,2,0,2,0,0,120,True
2026-02-11,2,1,1,0,1,0,-16,False
2026-02-12,4,4,0,3,1,0,164,True
2026-02-16,6,4,2,2,2,0,88,True
2026-02-17,4,4,0,4,0,0,240,True
2026-02-18,1,1,0,1,0,0,60,True
2026-02-19,3,3,0,3,0,0,180,True
2026-02-23,1,1,0,1,0,0,60,True
2026-02-24,5,5,0,5,0,0,300,True
2026-02-25,1,1,0,1,0,0,60,True
2026-03-02,1,1,0,1,0,0,60,True
2026-03-03,4,4,0,2,2,0,88,True
2026-03-04,6,6,0,6,0,0,360,True
2026-03-10,1,1,0,1,0,0,60,True
2026-03-11,6,2,4,0,2,0,-32,False
2026-03-12,9,9,0,9,0,0,540,True
2026-03-17,9,2,7,0,2,0,-32,False
2026-03-23,3,2,1,0,2,0,-32,False
2026-03-25,7,4,3,2,2,0,88,True
2026-03-26,10,9,1,9,0,0,540,True
2026-03-30,1,1,0,0,1,0,-16,False
2026-03-31,5,5,0,5,0,0,300,True
2026-04-01,5,5,0,3,2,0,148,True
2026-04-02,5,3,2,1,2,0,28,True
2026-04-22,5,2,3,0,2,0,-32,False
2026-04-27,1,1,0,0,1,0,-16,False
2026-04-28,5,2,3,0,2,0,-32,False
2026-04-30,5,2,3,1,1,0,44,True
2026-05-04,9,1,8,1,0,0,60,True
2026-05-06,2,1,1,1,0,0,60,True
2026-05-07,2,1,1,1,0,0,60,True
2026-05-11,5,2,3,0,2,0,-32,False
2026-05-13,3,1,2,0,1,0,-16,False
2026-05-14,8,2,6,0,2,0,-32,False
2026-05-18,5,2,3,0,2,0,-32,False
