trade_date,signals_available,signals_taken,signals_skipped,wins,losses,timeouts,net_ticks,session_profitable
2024-11-05,3,3,0,3,0,0,180,True
2024-11-06,7,7,0,7,0,0,420,True
2024-11-07,3,3,0,3,0,0,180,True
2024-11-13,4,4,0,3,1,0,164,True
2024-11-14,7,6,1,6,0,0,360,True
2024-11-18,3,3,0,3,0,0,180,True
2024-11-19,3,3,0,3,0,0,180,True
2024-11-20,8,4,4,2,2,0,88,True
2024-11-21,14,11,3,11,0,0,660,True
2024-11-25,6,6,0,6,0,0,360,True
2024-11-26,2,2,0,2,0,0,120,True
2024-11-28,13,9,4,8,1,0,464,True
2024-12-02,10,8,2,8,0,0,480,True
2024-12-03,11,11,0,11,0,0,660,True
2024-12-05,1,1,0,1,0,0,60,True
2024-12-09,17,17,0,17,0,0,1020,True
2024-12-12,1,1,0,1,0,0,60,True
2024-12-16,8,8,0,8,0,0,480,True
2024-12-17,3,3,0,1,2,0,28,True
2024-12-18,1,1,0,0,1,0,-16,False
2024-12-19,4,2,2,0,2,0,-32,False
2024-12-23,2,1,1,1,0,0,60,True
2024-12-26,6,2,4,0,2,0,-32,False
2024-12-30,2,2,0,2,0,0,120,True
2025-01-06,6,2,4,2,0,0,120,True
2025-01-07,1,1,0,1,0,0,60,True
2025-01-08,2,2,0,2,0,0,120,True
2025-01-09,7,6,1,5,1,0,284,True
2025-01-15,5,4,1,4,0,0,240,True
2025-01-16,4,2,2,2,0,0,120,True
2025-01-20,14,4,10,2,2,0,88,True
2025-01-22,11,6,5,5,1,0,284,True
2025-01-23,8,4,4,4,0,0,240,True
2025-01-27,12,5,7,3,2,0,148,True
2025-01-29,11,9,2,9,0,0,540,True
2025-01-30,2,1,1,0,1,0,-16,False
2025-02-04,3,1,2,1,0,0,60,True
2025-02-06,14,5,9,5,0,0,300,True
2025-02-09,5,5,0,5,0,0,300,True
2025-02-10,1,1,0,1,0,0,60,True
2025-02-11,15,6,9,5,1,0,284,True
2025-02-12,5,4,1,4,0,0,240,True
2025-02-13,10,3,7,3,0,0,180,True
2025-02-17,6,3,3,3,0,0,180,True
2025-02-18,4,3,1,3,0,0,180,True
2025-02-19,3,3,0,3,0,0,180,True
2025-02-20,3,3,0,3,0,0,180,True
2025-02-24,3,3,0,3,0,0,180,True
2025-02-25,8,8,0,8,0,0,480,True
2025-02-26,5,5,0,5,0,0,300,True
2025-02-27,16,11,5,10,1,0,584,True
2025-03-03,5,5,0,5,0,0,300,True
2025-03-04,25,18,7,16,2,0,928,True
2025-03-06,8,2,6,0,2,0,-32,False
2025-03-10,7,5,2,3,2,0,148,True
2025-03-12,20,13,7,11,2,0,628,True
2025-03-13,1,1,0,1,0,0,60,True
2025-03-17,7,2,5,0,2,0,-32,False
2025-03-18,5,2,3,0,2,0,-32,False
2025-03-19,7,7,0,7,0,0,420,True
2025-03-20,5,2,3,0,2,0,-32,False
2025-03-24,9,6,3,6,0,0,360,True
2025-03-27,4,3,1,2,1,0,104,True
2025-04-01,1,1,0,0,1,0,-16,False
2025-04-08,1,1,0,0,1,0,-16,False
2025-04-09,2,2,0,1,1,0,44,True
